a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
117	3	1	27	5	2	5	80	2		20	1600	1	1		2		2	0.5	2	1	0.5	2
117	3	2	27	7	2	5	75	2		20	1500	1	1		2		2	0.5	2	1	0.5	2
117	3	3	7	7	2	5	2	3	67	12395	24790	1	1		2		2	0.35	2	1	2	2
118	3	1	5	4	2	5	40	2		80	3200	1	1		2		2	0.5	2	3	0.5	2
118	3	2	27	4	2	5	240	2		45	10800	1	1		2		2	0.5	2	3	0.5	2
118	3	3	27	5	2	5	40	2		20	800	1	1		2		2	0.5	2	3	0.5	2
118	3	4	27	9	2	5	40	2		20	800	1	1		2		2	0.5	2	3	0.5	2
119	3	1	27	4	2	5	20	2		30	600	1	1		2		2	0.5	2	1	0.5	2
120	3	99																				
121	2	1	27	2	1	6	160	2		75	12000	1	100		2		1	0	0	13	0	2
121	2	2	27	6	1	6	100	2		50	5000	1	100		2		1	0	0	13	0	2
121	2	3	27	10	1	6	30	2		33.3333333333333	1000	1	100		2		1	0	0	13	0	2
121	2	4	7	7	1	6	1	3	100	25000	25000	1	100		2		1	0	0	13	0	2
122	2	1	27	11	2	2	64	2		125	8000	1	100		2		3	0.75	9	7	0.5	2
122	2	2	5	12	2	2	360	2		30	10800	1	100		2		1	0	0	13	0	2
123	2	1	7	6	2	1	1	3	100	15000	15000	1	100		2		3	1	7	3	2	2
123	2	2	14	6	9	5	5	2		30	150	1	100		2		1	0	0	13	0	2
123	2	3	21	5	9	5	3	2		50	150	1	100		2		1	0	0	13	0	2
123	2	4	27	10	9	5	300	2		6.66666666666667	2000	1	100		2		1	0	0	13	0	2
123	2	5	27	12	9	5	10	2		15	150	1	100		2		1	0	0	13	0	2
124	2	1	7	7	9	1	1	3	120	20000	20000	1	100		2		2	2	10	3	1	2
126	2	1	5	4	2	1	65	2		40	2600	1	100		2		3	1	8	12	0	2
127	2	1	21	1	1	6	10	2		20	200	1	100		2		1	0	0	13	0	2
127	2	2	27	6	1	6	60	2		3.33333333333333	200	1	100		2		1	0	0	13	0	2
127	2	3	5	3	2	1	20	2		15	300	1	100		2		2	2	0.25	3	0.25	2
127	2	4	27	6	2	5	100	2		5	500	1	100		2		2	0.25	2	8	0.25	2
127	2	5	27	10	2	5	4	2		262.5	1050	1	100		2		2	0.25	2	8	0.25	2
127	2	6	13	3	2	5	20	2		25	500	1	100		2		2	0.25	2	8	0.25	2
