a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
687	3	1	2																				2																							2
688	3	2																																												
689	3	2																																												
690	3	2																																												
691	3	2																																												
692	3	1	2																				2																							1
693	3	2																																												
694	3	2																																												
695	3	1	2																				2																							5
696	3	2																																												
697	3	2																																												
698	3	1	2																				2																							1
699	3	1	2																				2																							1
700	3	2																																												
701	3	2																																												
702	3	1	2																				2																							1
704	3	1	2																				2																							1
705	3	1	1	1	0	0	1	1	1	1	1	1	2		1	1	2		2		2		2																							
706	3	1	1	2	0	0	1	2	1	2	1	2	1	1	1	2	2		2		2		2																							
707	3	1	2																				1	1			3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2		
708	3	1	1	12	0	0	1	1	1	1	1	1	1	1	1	1	2		1	2	2		2																							
709	3	2																																												
710	3	1	1	2	0	0	1	2	1	1	1	1	1	1	2		1	1	1	2	2		2																							
711	3	1	2																				2																							1
712	3	2																																												
713	3	1	2																				2																							1
714	3	2																																												
715	3	2																																												
716	3	1	2																				2																							1
717	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	2		2		2		2																							
718	3	1	1	3	0	0	1	2	1	2	1	2	1	2	1	2	2		2		2		2																							
719	3	2																																												
720	3	2																																												
721	3	1	2																				2																							1
722	3	2																																												
723	3	2																																												
724	3	2																																												
725	3	2																																												
726	3	2																																												
727.1	3	1	2																				2																							1
727.2	3	1	2																				2																							1
727.3	3	2																																												
728	3	2																																												
729	3	2																																												
730	3	1	2																				2																							1
731	3	2																																												
732	3	2																																												
733	3	1	2																				2																							4
734	3	2																																												
735	3	2																																												
736	3	2																																												
737.1	3	2																																												
737.2	3	2																																												
738	3	2																																												
739	3	2																																												
740	3	2																																												
741	3	2																																												
742	3	2																																												
743	3	2																																												
744	3	2																																												
746.1	3	2																																												
746.2	3	2																																												
747	3	2																																												
748	3	2																																												
749	3	1	2																				2																							1
750	3	2																																												
751.1	3	2																																												
751.2	3	2																																												
753.1	3	2																																												
753.2	3	2																																												
754	3	2																																												
755	3	1	2																				2																							1
756	3	2																																												
757	3	2																																												
758	3	2																																												
759	3	1	2																				2																							1
760.1	3	2																																												
760.2	3	2																																												
761.1	3	1	2																				2																							1
761.2	3	2																																												
762	3	2																																												
763	3	2																																												
764	3	2																																												
765.1	3	2																																												
765.2	3	2																																												
766	3	2																																												
767	3	2																																												
768	3	1	1	7	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			6	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
769	3	2																																												
770	3	2																																												
771	3	2																																												
772	3	1	2																				2																							1
773	3	2																																												
774	3	2																																												
775	3	2																																												
776	3	2																																												
777	3	2																																												
778	3	2																																												
779.1	3	2																																												
779.2	3	2																																												
781	3	1	2																				2																							1
782	3	1	2																				2																							1
783	3	1	2																				2																							4
784	3	1	2																				2																							1
785	3	2																																												
786	3	1	2																				2																							1
787	3	1	2																				2																							1
788	3	1	2																				2																							1
789	3	1	2																				2																							1
790	3	2																																												
