a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
262	3	1		2009	66	1	0.25	1	1	5	2	2	5		9999		2
263	3	2	1														2
264	4	1		2009	66	1	0.25	1	1	5	2	2	5		9999		2
265	2	1		2002	66	2	0.25	1	2				1		2011	22	2
265	3	1		2010	66	2	0.25	1	1	1	1	2	1		9999		2
266	3	1		2002	1	2	0.5	1	1	1	22	2	1		9999		2
266	4	1		2010	1	1	0.5	1	1	1	1	2	1		9999		2
267	2	1		2003	1	1	0.25	2	2				1		2008	5	2
267	3	1		2010	1	1	0.25	1	1	1	2	2	1		9999		2
267	4	1		2010	1	1	0.25	1	1	1	2	2	1		9999		2
268	3	1		2008	1	1	0.25	1	1	1	4	2	5		9999		2
268	4	1		2010	1	1	0.25	1	1	1	2	2	5		9999		2
269	4	1		2005	66	2	0.25	1	1	1	6	2	1		9999		2
269	5	1		2007	1	1	0.25	1	1	1	5	2	1		9999		2
269	6	1		2010	1	1	0.25	1	1	5	2	2	5		9999		2
269	7	2	1														2
270	5	1		2001	66	2	0.25	1	1	1	22	2	1		9999		2
271	3	1		2002	66	2	0.25	1	1	1	9	2	1		9999		2
271	4	1		2006	66	1	0.25	1	1	1	5	2	1		9999		2
271	5	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
272	2	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
273	2	1		2003	1	2	0.5	1	1	1	9	2	1		9999		2
274	2	1		2006	1	2	0.25	1	1	1	6	2	1		9999		2
274	3	1		2008	1	1	0.25	1	1	5	4	2	5		9999		2
275	3	1		2008	66	1	0.25	1	1	5	3	2	5		9999		2
275	4	2	1														2
277	3	1		2001	1	2	0.25	1	1	1	1	2	1		9999		2
281	3	1		2007	1	1	0.25	1	1	5	5	2	5		9999		2
281	4	1		2011	66	1	0.25	2	1	1	66	9					2
282	6	1		1999	66	2	1.0	1	1	1	10	2	1		9999		2
282	7	1		2002	66	1	1.0	1	1	1	8	2	7		9999		2
282	8	1		2003	66	2	1.0	1	1	1	7	2	1		9999		2
283	3	1		2008	66	1	0.1	1	1	1	3	2	1		9999		2
283	4	1		2009	66	1	0.1	1	1	5	3	2	5		9999		2
283	5	1		2010	66	1	0.1	1	1	1	1	9					2
286	7	1		2008	1	1	0.25	2	1	1	1	2	1		9999		2
287	3	1		2003	2	2	0.5	1	1	7	10	2	7		9999		2
287	4	1		2006	1	2	0.5	1	1	7	6	2	7		9999		2
287	5	1		2009	1	1	0.25	1	1	1	3	2	1		9999		2
287	6	1		2010	1	1	0.25	1	1	1	2	2	1		9999		2
288	3	2	11														2
288	4	1		2009	66	1	0.25	1	1	1	2	2	1		9999		2
288	5	2	1														2
291	6	1		1999	66	2	1.0	1	1	1	10	2	1		9999		2
291	7	1		2005	66	2	1.0	1	1	7	7	2	7		9999		2
293	3	1		2007	1	1	0.25	1	1	1	5	2	1		9999		2
293	4	1		2010	1	1	0.25	1	1	5	2	2	1		9999		2
294	3	1		2001	1	1	0.25	2	2				1		2003	5	2
294	4	1		2003	1	1	0.25	2	2				1		2005	5	2
294	5	1		2009	66	1	0.25	1	1	1	2	2	1		9999		2
295	3	1		2002	66	1	0.25	2	2				1		2006	5	2
295	4	1		2007	66	1	0.25	2	2				1		2008	5	2
295	5	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
296	2	1		2004	66	1	0.5	1	1	7	6	2	1		9999		2
296	3	1		2005	66	1	0.5	1	1	1	6	2	1		9999		2
296	4	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
297	3	1		2008	66	1	0.25	1	2				1		2010	5	2
297	4	1		2010	66	1	0.25	1	1	5	1	2	1		9999		2
298	2	1		2010	66	1	0.25	1	1	1	1	2	1		9999		2
299	2	2	1														2
300	3	2	5														2
300	4	1		2007	1	1	0.25	2	2				1		2009	9	2
300	5	1		2011	1	1	0.25	2	1	1	1	2	1		9999		2
302	2	1		2008	66	7	0.5	1	1	1	3	2	1		9999		2
302	3	1		2009	1	1	1.0	1	1	5	2	1	1		9999		2
302	4	1		2010	1	1	1.5	1	1	5	2	2	1		9999		2
303	3	1		2010	1	1	0.25	1	1	1	2	2	1		9999		2
303	4	1		2011	66	5	0.25	2	1	1	66	9					2
303	5	2	1														2
304	3	1		2010	1	2	1.0	1	1	1	2	2	1		9999		2
304	4	2	1														2
306	3	2	1														2
307	2	1		2008	66	1	1.0	1	1	5	3	2	5		9999		2
307	3	2	1														2
308	3	1		2011	66	1	0.25	2	1	1	66	2	1		9999		2
309	3	1		2007	66	2	0.25	1	1	1	4	2	1		9999		2
310	3	1		2007	66	1	1.0	1	1	1	4	2	1		9999		2
311	3	1		2005	1	2	0.75	1	1	1	7	2	1		9999		2
312	2	1		2011	1	5	0.5	1	1	1	1	9					2
312	3	1		2011	1	5	0.5	1	1	1	1	9					2
314	2	1		2008	1	1	0.5	1	1	5	4	2	5		9999		2
314	3	1		2011	1	1	0.5	2	1	1	1	9					2
315	2	1		2009	1	1	0.5	1	1	1	3	2	1		9999		2
316	8	1		2010	1	1	0.25	1	1	5	2	2	5		9999		2
317	3	1		2000	1	2	3.0	1	1	1	10	2	1		9999		2
317	4	1		2005	1	2	3.0	1	1	1	7	2	1		9999		2
318	2	2	1														2
321	3	1		2000	66	1	0.25	2	2				1		2005	5	2
321	4	1		2002	66	1	0.25	2	2				1		2007	5	2
323	2	1		2003	1	7	0.5	1	1	1	8	2	1		9999		2
323	3	1		2009	66	7	0.5	1	1	1	2	2	1		9999		2
324	8	1		2010	66	1	1.0	1	1	1	1	2	1		9999		2
324	9	1		2009	1	1	1.0	1	1	5	3	2	5		9999		2
325	3	1		2004	66	1	0.25	2	2				1		2007	5	2
325	4	1		2005	66	1	0.25	1	1	1	5	2	1		9999		2
325	5	1		2006	66	1	0.25	1	1	1	4	2	1		9999		2
325	6	1		2007	66	1	0.25	1	1	1	3	2	5		9999		2
326	4	1		2001	1	2	1.0	1	1	1	10	1	1		9999		2
326	5	1		2005	1	2	1.0	1	1	1	7	2	1		9999		2
326	6	1		2007	1	1	0.25	1	1	5	5	2	5		9999		2
328	4	1		2000	1	2	0.5	1	1	1	9	2	1		9999		2
328	5	1		2005	1	1	0.25	2	2				1		2010	11	2
332	4	1		2002	1	1	0.25	2	2				1		2007	5	2
332	5	1		2005	1	2	3.0	1	1	1	7	2	1		9999		2
332	6	1		2010	1	1	0.25	1	1	5	2	2	1		9999		2
334	3	1		2003	66	2	0.25	1	1	7	8	2	7		9999		2
334	4	1		2004	66	2	0.25	1	1	1	7	2	1		9999		2
334	5	1		2007	66	1	0.25	1	1	5	4	2	5		9999		2
335	2	1		2009	66	1	0.25	1	1	5	1	2	1		9999		2
336	5	1		2008	1	1	0.25	1	1	1	4	2	1		9999		2
336	6	1		2010	1	1	0.25	1	1	5	2	2	5		9999		2
337	2	1		2007	1	1	0.25	1	1	1	5	2	1		9999		2
337	3	1		2009	1	1	0.25	1	1	5	2	1	5		9999		2
337	4	1		2010	1	1	0.25	1	1	1	2	2	1		9999		2
339	4	1		2001	1	2	2.0	1	2				1		2010	21	2
339	5	1		2010	1	1	0.25	1	1	5	2	2	5		9999		2
341	2	1		2004	1	7	1.0	1	1	1	8	2	1		9999		3
341	3	1		2007	1	2	1.0	1	1	5	4	2	5		9999		3
341	4	2	1														3
342	2	1		2006	66	2	0.5	1	1	1	5	2	5		9999		3
342	3	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
343	3	1		2006	1	2	3.0	1	1	1	6	2	1		9999		3
343	4	1		2011	1	2	1.5	2	1	5	1	9					3
344	3	1		2004	1	1	0.5	2	2				1		2006	5	3
345	2	1		2010	66	1	0.5	1	1	5	1	2	5		9999		3
348	3	1		2003	1	2	3.0	1	1	1	9	2	1		9999		3
348	4	1		2011	1	1	0.25	2	1	5	1	9					3
351	3	1		2003	1	2	4.0	1	1	1	8	1	1		9999		3
352	3	1		2003	66	2	0.5	1	1	1	8	2	1		9999		3
352	4	1		2008	66	1	0.5	1	1	5	4	2	5		9999		3
354	3	1		2007	1	1	0.0	1	1	1	5	2	1		9999		3
354	4	1		2007	1	1	0.0	1	1	5	5	2	5		9999		3
355	3	1		2002	1	2	3.0	1	1	7	9	1	7		9999		3
356	3	1		2006	1	2	3.0	1	1	1	6	2	1		9999		3
356	4	1		2009	1	1	0.25	1	1	5	3	2	5		9999		3
357	3	1		2011	1	1	0.25	2	1	5	1	9					3
361	5	1		2006	1	2	0.5	1	1	1	6	2	1		9999		3
363	3	1		2006	1	5	0.25	1	2				1		2011	9	3
366	3	1		2006	66	1	0.5	1	1	1	5	2	1		9999		3
366	4	1		2008	66	1	0.5	1	1	5	3	2	5		9999		3
367	3	1		2002	66	2	0.5	1	1	7	9	2	7		9999		3
367	4	1		2007	66	3	0.5	1	1	1	4	2	1		9999		3
368	5	1		2004	66	2	0.5	1	1	1	7	2	5		9999		3
369	3	1		2010	66	2	0.5	1	1	5	1	2	1		9999		3
